keys_,count,label
economy,1542,economy
business,1064,economy
science and technology,903,science&technology
international,772,international relations
china,692,international relations
defence,678,defence
covid-19,652,health
socio-economic,595,society
sports,576,sports
environment,554,environment
government schemes,542,governance
cabinet decisions,514,polity
rbi,494,economy
us,446,international relations
india-international relations,445,international relations
united nations,433,international relations
agriculture,422,agriculture
awards,412,culture
days and events,396,culture
supreme court,364,polity
public health,325,health
usa,312,international relations
russia,312,international relations
banking,311,economy
diseases,296,health
appointments,291,polity
nasa,278,science&technology
japan,276,international relations
education,270,society
climate change,270,environment
indian navy,267,defence
health,266,health
pakistan,266,defence
upsc,261,polity
clat,250,polity
isro,249,science&technology
indian railways,239,governance
niti aayog,232,governance
united states,231,international relations
world bank,230,economy
india-us,223,international relations
who,214,international relations
lok sabha,207,polity
cricket,203,sports
drdo,201,science&technology
bills and amendments,199,governance
india china,198,international relations
committees,198,governance
indian army,187,defence
bangladesh,172,international relations
bills and acts,169,governance
uk,164,international relations
ministry of power,164,science&technology
un,156,international relations
unesco,153,culture
infrastructure,149,economy
reserve bank of india,140,economy
terrorism,137,defence
taxation,137,economy
corona virus,137,health
space technology,136,science&technology
places in news,135,culture
events,131,culture
tourism,129,culture
pm modi,129,polity
renewable energy,129,environment
nepal,125,international relations
germany,123,international relations
reserve bank of india (rbi),122,economy
india- pakistan,119,defence
india-bangladesh,116,international relations
ccea,116,polity
make in india,116,governance
women empowerment,116,society
india-russia,114,international relations
indian military exercises,114,defence
united kingdom,114,international relations
covid-19 vaccine,112,health
indian air force,111,defence
canada,110,international relations
parliament,109,polity
women related issues,108,society
sri lanka,107,international relations
e-governance,106,governance
art and culture,106,culture
iran,102,international relations
brazil,101,geography
disaster management,101,defence
singapore,100,culture
brics,100,international relations
india-japan,98,international relations
afghanistan,96,international relations
european union,96,international relations
sebi,95,economy
south korea,94,international relations
rajya sabha,94,polity
indian diaspora,94,culture
google,92,science&technology
ministry of home affairs,92,defence
solar energy,90,environment
ministry of health and family welfare,89,society
digital india,89,science&technology
world health organisation (who),88,health
trade,88,economy
biology,87,science&technology
global warming,87,science&technology
unga,86,polity
missile technology,85,science&technology
election commission,84,governance
power sector,84,economy
military exercises,82,defence
icmr,82,history
football,81,sports
saudi arabia,81,defence
goa,79,culture
switzerland,79,geography
elections,79,polity
air pollution,79,environment
south africa,78,international relations
gst,78,economy
prime minister narendra modi,77,governance
msme,77,economy
biotechnology,75,science&technology
president,75,polity
africa,74,environment
india-nepal,74,international relations
sbi,72,international relations
israel,72,international relations
union cabinet,72,polity
sustainable development goals,72,environment
uae,70,international relations
imf,69,economy
new zealand,69,international relations
pollution,68,environment
facebook,67,science&technology
csir,67,science&technology
india-france,66,international relations
ministry of finance,64,economy
ease of doing business,64,economy
india-uk,63,international relations
unicef,63,health
e-commerce,63,economy
ministry of external affairs,62,international relations
culture,62,culture
europe,62,international relations
skill development,62,economy
india-world bank,61,international relations
internal security,61,defence
syria,59,international relations
malaysia,59,international relations
ukraine,59,international relations
space,59,science&technology
united nations general assembly,59,international relations
atma nirbhar bharat abhiyan,59,governance
badminton,58,sports
ministry of women and child development,58,society
indian ocean region,58,international relations
asean,57,international relations
india-sri lanka,57,international relations
economic growth,57,economy
delhi government,57,governance
g20,57,international relations
books,56,history
indian coast guard,56,defence
myanmar,55,international relations
iucn,55,international relations
ministry of defence,54,defence
artificial intelligence,54,science&technology
memorandum of understanding,54,polity
wto,53,economy
thailand,53,international relations
government policies,53,governance
nato,52,defence
finance ministry,52,economy
government of india,52,governance
